code,obs,N,K,prob,avg,sd
014680,11,13,0.5,0.727272727272727,0.0183498916341677,0.0346856613589064
138930,12,8,0.6,0.75,0.00466432249849265,0.00712786735690702
047050,13,9,0.9,0.615384615384615,0.00372781646999794,0.0156968300281825
000990,13,8,1.3,0.769230769230769,0.0103531225478682,0.0332945469224943
017800,11,6,1.3,0.636363636363636,0.00683033750648802,0.024824829508072
000240,16,13,0.5,0.6875,0.00581253175092689,0.0142665627300678
004800,11,10,1.3,0.727272727272727,0.00171969637438755,0.0202097087473337
051905,19,10,1.3,0.68421052631579,0.00511089871891205,0.0186977898052878
003520,11,14,1.6,0.727272727272727,0.0236960946907959,0.0991222081211204
181710,17,8,1.3,0.529411764705882,0.000659867544046645,0.0208505388645003
011000,11,7,1,0.727272727272727,0.00185358223130743,0.0463940825710619
102780,14,5,0.5,0.571428571428571,0.00114848550471296,0.00692194794176792
307950,12,7,1.2,0.583333333333333,0.000850058346717031,0.0190821833602265
007700,11,14,1.9,0.636363636363636,0.00662982009080954,0.0314292074541189
273130,14,7,0.5,0.857142857142857,0.000739569072496441,0.00114354993177328
002380,11,14,1.4,0.727272727272727,0.0104231202077832,0.0129013689719625
004000,11,7,0.7,0.727272727272727,0.0154900621440452,0.0424849437552608
012450,11,16,0.9,0.545454545454545,-0.00341286354687414,0.0193010779352866
069960,30,5,0.6,0.533333333333333,0.00137115781360624,0.0180270190378044
192080,16,4,1.1,0.6875,0.0145052643060393,0.0221870076172313
006120,11,7,1.6,0.727272727272727,-0.0152250265595581,0.114824466308562
010780,12,14,1.3,0.833333333333333,0.0140952845415005,0.0229552403575532
111770,12,8,1.6,0.75,0.00771911596295727,0.0158608097411773
138040,12,23,1.8,0.666666666666667,0.00491547757895002,0.0162480171991377
272210,13,3,0.8,0.615384615384615,0.0129770268091971,0.0439045517722196
157450,12,8,1.6,0.75,0.00010490418278349,0.000153628875271356
051600,12,16,1.6,0.75,0.00591083901904499,0.0147383966170692
047040,15,8,1.1,0.666666666666667,0.00785059160839848,0.0182049543504853
336370,12,4,0.5,0.583333333333333,0.00198620771768769,0.0395914720495855
114800,15,9,1.1,0.533333333333333,-0.00123465880498195,0.0147706601920051
010620,13,8,1.2,0.538461538461538,0.00364313151225505,0.0260703953551207
278530,11,3,1,0.727272727272727,0.00284884525191002,0.0060187323908919
001740,18,8,1.5,0.555555555555556,0.00251880951783286,0.0177767791616099
192820,13,7,0.8,0.538461538461538,0.00414980848233307,0.0241058229471115
011210,11,9,1.2,0.545454545454545,0.0104178951850894,0.028041760592672
033270,11,14,1.2,0.636363636363636,0.0181927982546897,0.0399275980137253
214320,11,11,1.2,0.727272727272727,0.010791753568048,0.0140014443731596
005250,11,4,1.1,0.545454545454545,-0.00169981934975025,0.0172225002308591
032350,18,8,0.9,0.666666666666667,0.0139256635817535,0.0236301255982749
073240,19,6,0.5,0.578947368421053,-0.00115019602635036,0.0200556050938466
233740,14,10,1.7,0.642857142857143,0.00762448240284096,0.022651539726456
031430,15,3,1,0.533333333333333,0.00114342088388071,0.0329615947733879
214980,19,9,1.6,0.842105263157895,0.000110368546631291,0.000128852932128679
139130,31,5,0.6,0.612903225806452,0.00439456745448428,0.0149733331069591
148020,11,13,1,0.727272727272727,0.00527567770984725,0.00596867025335218
023590,19,5,1.1,0.578947368421053,0.000565257906011421,0.0164025532560606
069260,15,3,1,0.666666666666667,0.00889573004876508,0.0358254906250884
020560,11,10,0.8,0.818181818181818,0.00597351055735454,0.0128675045852346
175330,11,13,1.2,0.818181818181818,0.0101601594435764,0.012234442979956
284740,11,10,0.7,0.545454545454545,-0.00103215515947545,0.032450298841404
003690,25,6,1,0.56,0.00314667940156632,0.0121931138439697
001680,13,9,0.8,0.615384615384615,0.0069832982500437,0.0171378213715292
